City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Patricio,US,2021-11-12 22:30:28,28.017,-97.5169,86.09,44,0,6.62
68,Phalodi,IN,2021-11-12 22:30:28,27.1333,72.3667,70.5,21,0,6.67
69,Hobart,AU,2021-11-12 22:30:28,-42.8794,147.3294,53.26,78,75,1.01
70,Butaritari,KI,2021-11-12 22:30:29,3.0707,172.7902,82.94,69,85,10.69
71,Ponta Do Sol,PT,2021-11-12 22:30:29,32.6667,-17.1,66.83,66,40,5.53
72,Puerto Ayora,EC,2021-11-12 22:30:30,-0.7393,-90.3518,75.16,83,51,9.46
73,Buchanan,LR,2021-11-12 22:30:30,5.8808,-10.0467,78.76,87,98,6.44
74,Ribeira Grande,PT,2021-11-12 22:30:31,38.5167,-28.7,68.76,85,100,21.85
75,Salinas,US,2021-11-12 22:30:31,36.6777,-121.6555,78.96,53,1,8.05
76,Tagusao,PH,2021-11-12 22:30:31,9.1924,117.8141,78.55,82,100,4.18
77,Norman Wells,CA,2021-11-12 22:30:32,65.282,-126.8329,15.84,79,90,11.5
78,Airai,TL,2021-11-12 22:30:32,-8.9266,125.4092,68.02,81,99,1.23
79,Inhambane,MZ,2021-11-12 22:30:33,-23.865,35.3833,72.88,85,91,13.53
80,Parrita,CR,2021-11-12 22:30:33,9.5201,-84.3225,89.37,83,28,3.04
81,Mataura,NZ,2021-11-12 22:30:33,-46.1927,168.8643,52.23,99,100,4.03
82,Los Llanos De Aridane,ES,2021-11-12 22:26:22,28.6585,-17.9182,64.15,78,75,9.22
83,Mackay,AU,2021-11-12 22:30:34,-21.15,149.2,75.18,53,40,16.11
84,Barrow,US,2021-11-12 22:30:34,71.2906,-156.7887,15.82,79,90,5.75
85,Lorengau,PG,2021-11-12 22:30:35,-2.0226,147.2712,84.49,72,62,2.8
86,Souillac,MU,2021-11-12 22:30:35,-20.5167,57.5167,73.36,88,20,4.61
87,Uray,RU,2021-11-12 22:30:36,60.1247,64.7758,26.89,92,63,10.98
88,Arenzano,IT,2021-11-12 22:30:36,44.4052,8.6832,60.96,84,0,4.0
89,Merauke,ID,2021-11-12 22:30:37,-8.4667,140.3333,84.22,75,97,6.35
90,Bilma,NE,2021-11-12 22:30:37,18.6853,12.9164,78.73,14,76,3.11
91,Americus,US,2021-11-12 22:30:37,32.0724,-84.2327,72.55,35,0,0.0
92,Nikolskoye,RU,2021-11-12 22:30:38,59.7035,30.7861,39.09,87,100,7.29
93,Brive-La-Gaillarde,FR,2021-11-12 22:30:38,45.25,1.5,50.27,98,42,1.5
94,Asfi,MA,2021-11-12 22:30:39,32.2994,-9.2372,61.52,76,1,11.25
95,Quatre Cocos,MU,2021-11-12 22:30:39,-20.2078,57.7625,73.09,79,37,7.47
96,Jardim,BR,2021-11-12 22:30:40,-21.4803,-56.1381,78.82,64,93,7.2
97,Sorong,ID,2021-11-12 22:30:40,-0.8833,131.25,81.05,82,100,7.27
98,Avarua,CK,2021-11-12 22:30:40,-21.2078,-159.775,78.85,78,100,12.66
99,Bukachacha,RU,2021-11-12 22:30:41,52.9833,116.9167,18.9,90,8,2.53
100,Shimoda,JP,2021-11-12 22:30:41,34.6667,138.95,53.1,60,1,16.75
101,Luderitz,NA,2021-11-12 22:30:42,-26.6481,15.1594,65.75,63,21,17.22
102,Saint George,US,2021-11-12 22:25:52,37.1041,-113.5841,77.47,28,1,4.0
103,Ketchikan,US,2021-11-12 22:30:42,55.3422,-131.6461,46.87,93,90,10.36
104,Praia,CV,2021-11-12 22:30:43,14.9215,-23.5087,75.74,73,20,8.05
105,Tekeli,KZ,2021-11-12 22:30:43,44.83,78.8239,36.7,45,1,7.27
106,Ialibu,PG,2021-11-12 22:30:44,-6.2821,143.9935,57.83,94,98,1.07
107,Avera,US,2021-11-12 22:30:44,33.194,-82.5271,66.7,36,0,4.0
108,Hami,CN,2021-11-12 22:30:44,42.8,93.45,27.93,54,0,4.76
109,Alihe,CN,2021-11-12 22:30:45,50.5667,123.7167,25.21,65,99,2.35
110,Zlitan,LY,2021-11-12 22:30:46,32.4674,14.5687,66.33,54,7,3.42
111,Asau,RO,2021-11-12 22:30:46,46.4333,26.4,38.75,54,54,1.52
112,Pisco,PE,2021-11-12 22:30:46,-13.7,-76.2167,66.25,77,0,23.02
113,Kyshtovka,RU,2021-11-12 22:30:47,56.555,76.6271,21.4,91,89,11.77
114,Vestmannaeyjar,IS,2021-11-12 22:30:47,63.4427,-20.2734,41.29,78,100,25.23
115,Rey Bouba,CM,2021-11-12 22:30:48,8.6724,14.1786,77.97,36,81,0.65
116,Soto,AR,2021-11-12 22:30:48,-32.8107,-61.4026,79.88,30,0,8.34
117,Flin Flon,CA,2021-11-12 22:30:48,54.7682,-101.865,24.64,68,90,5.75
118,Chokurdakh,RU,2021-11-12 22:30:49,70.6333,147.9167,-2.72,94,100,8.75
119,Geraldton,AU,2021-11-12 22:30:49,-28.7667,114.6,59.41,58,0,10.36
120,Monroe,US,2021-11-12 22:29:11,43.1501,-77.6831,52.95,58,75,3.44
